Date,closing_price,High,Low,Open,Volume,wikipedia_sentiment,tomorrow_price,average_sentiment
2019-01-01,3843.52001953125,3850.913818359375,3707.231201171875,3746.71337890625,4324200990,-0.1,3943.409423828125,0.9791140496730805
2019-01-02,3943.409423828125,3947.981201171875,3817.409423828125,3849.21630859375,5244856836,-0.1,3836.7412109375,0.9791140496730805
2019-01-03,3836.7412109375,3935.68505859375,3826.222900390625,3931.048583984375,4530215219,-0.1,3857.717529296875,0.9791140496730805
2019-01-04,3857.717529296875,3865.9345703125,3783.853759765625,3832.0400390625,4847965467,-0.1,3845.194580078125,0.9791140496730805
2019-01-05,3845.194580078125,3904.903076171875,3836.900146484375,3851.973876953125,5137609824,-0.1,4076.632568359375,0.9791140496730805
2019-01-06,4076.632568359375,4093.29736328125,3826.51318359375,3836.51904296875,5597027440,-0.1,4025.248291015625,0.9791140496730805
2019-01-07,4025.248291015625,4092.613525390625,4020.89404296875,4078.5849609375,5228625637,-0.1,4030.847900390625,0.9791140496730805
2019-01-08,4030.847900390625,4109.02099609375,3996.955322265625,4028.47216796875,5306593305,-0.1,4035.29638671875,0.9791140496730805
2019-01-09,4035.29638671875,4068.403564453125,4022.662841796875,4031.552001953125,5115905225,-0.1,3678.924560546875,0.9791140496730805
2019-01-10,3678.924560546875,4064.066650390625,3659.174560546875,4034.411376953125,6874143796,-0.1,3687.365478515625,0.9791140496730805
2019-01-11,3687.365478515625,3713.8818359375,3653.06982421875,3674.015380859375,5538712865,-0.1,3661.301025390625,0.9791140496730805
2019-01-12,3661.301025390625,3698.978271484375,3653.810791015625,3686.97314453125,4778170883,-0.1,3552.953125,0.9791140496730805
2019-01-13,3552.953125,3674.760009765625,3544.92724609375,3658.8681640625,4681302466,-0.1,3706.05224609375,0.9791140496730805
2019-01-14,3706.05224609375,3727.836181640625,3552.28515625,3557.31103515625,5651384490,-0.1,3630.67529296875,0.9791140496730805
2019-01-15,3630.67529296875,3720.1533203125,3619.94921875,3704.21630859375,5537192302,-0.1,3655.0068359375,0.9791140496730805
2019-01-16,3655.0068359375,3685.777099609375,3624.67333984375,3631.509765625,5394457145,-0.1,3678.56396484375,0.9791140496730805
2019-01-17,3678.56396484375,3680.135986328125,3621.9609375,3651.87109375,5464420383,-0.1,3657.83935546875,0.9791140496730805
2019-01-18,3657.83935546875,3682.52001953125,3637.080810546875,3677.990478515625,5002961727,-0.1,3728.568359375,0.9791140496730805
2019-01-19,3728.568359375,3758.533447265625,3652.3779296875,3652.3779296875,5955691380,-0.1,3601.013671875,0.9791140496730805
2019-01-20,3601.013671875,3743.387939453125,3583.01953125,3725.446044921875,5582489560,-0.1,3576.032470703125,0.9791140496730805
2019-01-21,3576.032470703125,3608.8408203125,3558.537109375,3600.372802734375,5004347059,-0.1,3604.5771484375,0.9791140496730805
2019-01-22,3604.5771484375,3620.74658203125,3539.721435546875,3575.081298828125,5313623556,-0.1,3585.123046875,0.9791140496730805
2019-01-23,3585.123046875,3623.06787109375,3565.31396484375,3605.55712890625,5433755649,-0.1,3600.865478515625,0.9791140496730805
2019-01-24,3600.865478515625,3616.08740234375,3569.0927734375,3584.500244140625,5262869046,-0.1,3599.765869140625,0.9791140496730805
2019-01-25,3599.765869140625,3612.927734375,3575.597412109375,3607.390380859375,5265847539,-0.1,3602.46044921875,0.9791140496730805
2019-01-26,3602.46044921875,3654.93310546875,3593.345947265625,3599.71533203125,5098183235,-0.1,3583.9658203125,0.9791140496730805
2019-01-27,3583.9658203125,3612.67138671875,3567.245849609375,3604.687255859375,5570752966,-0.1,3470.450439453125,0.9791140496730805
2019-01-28,3470.450439453125,3586.7509765625,3439.23291015625,3584.283203125,6908930483,-0.1,3448.116943359375,0.9791140496730805
